file_id,language,wer,cer,wer_ref_word_count,cer_ref_char_count,boundary_corruption_rate,policy_term_recall,real_time_factor
rec_audio_call_426576577_audio_1788983168675.mp3,tamil,0.589728453364817,0.28829437898396754,1694,10354,0.6465696465696466,0.0,0.08690189752967352
rec_audio_call_426883755_audio_1789023272654.mp3,hindi,2.6,1.6,5,20,1.0,,0.03811849447093884
rec_audio_call_426565546_audio_1788982388939.mp3,hindi,4.666666666666667,2.8461538461538463,3,13,0.75,,0.037386501810154
rec_default_427307170_audio_1789058316339.mp3,telugu,2.5384615384615383,1.5873015873015872,13,63,0.6923076923076923,,0.04366689891992821
rec_audio_call_427000661_audio_1789031852494.mp3,malayalam,1.0401854714064915,0.6549576482311908,647,4014,0.6604477611940298,1.0,3.5338324358595625
rec_audio_call_426864879_audio_1789021871603.mp3,kannada,4.945945945945946,3.7606382978723403,37,188,0.782608695652174,,0.5616822731461881
rec_audio_call_426201717_audio_1788955277234.mp3,hindi,0.5769230769230769,0.37349397590361444,52,166,0.5454545454545454,,0.04809087795267302
rec_default_426460304_audio_1788976707317.mp3,malayalam,0.8305084745762712,0.5446927374301676,59,358,0.5641025641025641,1.0,0.4473811776244652
rec_default_427012537_audio_1789032626712.mp3,malayalam,0.7413793103448276,0.3959537572254335,58,346,0.7777777777777778,0.0,5.555393906759979
rec_default_426363836_audio_1788970922202.mp3,telugu,1.1818181818181819,0.839622641509434,66,318,0.55,0.6666666666666666,0.04844281310009634
rec_default_426194323_audio_1788954640272.mp3,hindi,1.7777777777777777,0.9722222222222222,9,36,0.9411764705882353,,0.041888546386392174
rec_default_425656790_audio_1788896051031.mp3,tamil,0.6859504132231405,0.34199726402188785,121,731,0.55,0.0,0.08294873581096274
rec_audio_call_427315026_audio_1789058843014.mp3,tamil,0.7746478873239436,0.4067796610169492,71,413,0.6388888888888888,,0.0643140348035407
rec_audio_call_426180101_audio_1788953436912.mp3,telugu,0.5789473684210527,0.3193717277486911,38,191,0.9523809523809523,0.0,0.056128412554917344
rec_audio_call_426854007_audio_1789021052086.mp3,hindi,0.9626168224299065,0.638121546961326,107,362,0.5555555555555556,,0.06177796018921442
rec_default_427035680_audio_1789034118532.mp3,malayalam,0.6763485477178424,0.39964264443120906,241,1679,0.5333333333333333,,4.190485491379344
rec_audio_call_426580380_audio_1788983454564.mp3,tamil,1.164179104477612,1.006472491909385,67,309,0.5625,0.0,0.0619512527839271
rec_audio_call_426656676_audio_1788993082694.mp3,malayalam,1.445134575569358,0.7943333333333333,483,3000,0.703862660944206,1.0,0.37890081439026835
rec_default_426620137_audio_1788986984372.mp3,tamil,0.9791666666666666,0.6370558375634517,144,788,0.719626168224299,0.5,0.05319289475061039
rec_audio_call_425936126_audio_1788935044155.mp3,telugu,0.6710743801652893,0.4149616368286445,605,3128,0.6884615384615385,0.0,0.05855399564212727
rec_audio_call_426864047_audio_1789021815416.mp3,kannada,2.0866062437059414,1.475939996103643,993,5133,0.6876513317191283,0.5,0.6995284389442121
rec_audio_call_426851772_audio_1789020879921.mp3,hindi,0.5867158671586716,0.4414715719063545,271,897,0.620253164556962,1.0,0.06271102851567714
rec_default_426645015_audio_1788990433927.mp3,telugu,0.7470355731225297,0.4586080586080586,253,1365,0.7424242424242424,0.3333333333333333,0.05847258084018441
rec_default_426126463_audio_1788949378147.mp3,hindi,1.6,1.2941176470588236,5,17,1.0,,0.04712015058670707
rec_default_426647598_audio_1788990955665.mp3,tamil,1.978494623655914,1.4369652025099828,279,1753,0.7932960893854749,0.0,0.10406538935550708
rec_default_427307263_audio_1789058328048.mp3,telugu,18.0,11.2,1,5,1.0,,0.039188004117244005
rec_default_426609609_audio_1788985926405.mp3,kannada,17.846153846153847,14.603174603174603,39,189,0.8,0.0,0.3701237554977239
rec_default_426438311_audio_1788975608857.mp3,malayalam,1.3267326732673268,0.5516483516483517,303,1820,0.684931506849315,1.0,0.5257854024200451
rec_default_423336284_audio_1788688591351.mp3,kannada,0.664,0.36086956521739133,125,690,0.627906976744186,0.3333333333333333,0.08964482655032133
rec_default_427012755_audio_1789032638070.mp3,malayalam,0.7951807228915663,0.5807770961145194,166,978,0.46511627906976744,,4.170182706664598
rec_audio_call_425905210_audio_1788932612192.mp3,telugu,0.734717416378316,0.4930601454064772,867,4539,0.6905537459283387,,0.06775943361306157
rec_audio_call_403536354_audio_1786818099540.mp3,kannada,0.9047619047619048,0.4117647058823529,21,119,0.6666666666666666,,0.061384818763159106
rec_audio_call_426641897_audio_1788989870691.mp3,telugu,0.680327868852459,0.5208681135225376,122,599,0.7222222222222222,0.5,0.06925651895553712
rec_audio_call_421865395_audio_1788545383247.mp3,hindi,0.5106382978723404,0.3621621621621622,47,185,0.4,,0.05348666520740724
rec_default_426439325_audio_1788975665682.mp3,telugu,0.8235294117647058,0.5309090909090909,51,275,0.7037037037037037,0.0,0.055478167351235196
rec_audio_call_420358272_audio_1788412834216.mp3,tamil,0.6693227091633466,0.3499671700590939,251,1523,0.7045454545454546,,0.07270480711953013
rec_audio_call_425384170_audio_1788877922101.mp3,malayalam,0.48855989232839836,0.2310126582278481,743,5056,0.7113821138211383,1.0,3.8112862201488373
rec_default_427313073_audio_1789058722144.mp3,tamil,0.782608695652174,0.3572496263079223,115,669,0.7391304347826086,,0.07323884433683882
rec_default_427018157_audio_1789032985293.mp3,malayalam,1.4137931034482758,0.47619047619047616,29,147,0.75,,3.095852886669528
rec_audio_call_421629115_audio_1788525839912.mp3,kannada,0.6444991789819376,0.32873203358474457,1218,7027,0.722972972972973,,0.12647436517085964
rec_default_427307149_audio_1789058314884.mp3,telugu,0.5490196078431373,0.33987511150758254,255,1121,0.6521739130434783,,0.06647241979825766
rec_audio_call_426204404_audio_1788955515816.mp3,hindi,24.666666666666668,21.583333333333332,3,12,1.0,,0.045154998308688486
rec_default_426108348_audio_1788948073644.mp3,malayalam,11.166666666666666,1.6911764705882353,18,136,0.76,,7.201361372848659
rec_default_426101552_audio_1788947595142.mp3,kannada,2.53125,1.813782991202346,128,682,0.6875,,0.9260232710754257
rec_audio_call_426580224_audio_1788983439239.mp3,tamil,0.7794117647058824,0.5122950819672131,68,488,0.7948717948717948,0.5,0.06203093118321872
rec_audio_call_426848640_audio_1789020645122.mp3,hindi,0.9868421052631579,0.7088122605363985,76,261,0.7297297297297297,0.0,0.06537437052976909
rec_default_425134890_audio_1788857770816.mp3,hindi,0.39803439803439805,0.2777777777777778,407,1404,0.5967741935483871,1.0,0.06010055542471078
rec_audio_call_426857289_audio_1789021309748.mp3,kannada,1.608695652173913,0.916083916083916,23,143,0.76,,0.25914642702663204
rec_audio_call_426652927_audio_1788992127130.mp3,malayalam,0.6946902654867256,0.3722067039106145,226,1432,0.5714285714285714,0.6666666666666666,0.34462409468265526
rec_audio_call_425861520_audio_1788928521393.mp3,telugu,0.72,0.5128205128205128,50,273,0.78125,0.5,0.0535683323378011
rec_audio_call_426613454_audio_1788986291945.mp3,tamil,0.8833333333333333,0.7212837837837838,120,592,0.6557377049180327,0.25,0.0726458607824979
rec_default_427303915_audio_1789058082453.mp3,tamil,0.7288135593220338,0.5445859872611465,59,314,0.6060606060606061,,0.0583731021550664
rec_audio_call_427013211_audio_1789032669332.mp3,malayalam,0.7761194029850746,0.4375,67,400,0.46153846153846156,,6.251896905322174
rec_audio_call_426864085_audio_1789021818783.mp3,kannada,0.6373626373626373,0.35824175824175825,182,910,0.40625,,0.32676349033858776
rec_audio_call_426339629_audio_1788968889098.mp3,malayalam,0.7428571428571429,0.4486873508353222,70,419,0.3076923076923077,0.6666666666666666,0.5540201847630588
rec_audio_call_427313337_audio_1789058738019.mp3,tamil,3.7,3.975,10,40,0.7777777777777778,,0.05034435076161221
rec_audio_call_421223616_audio_1788491953131.mp3,tamil,0.6721311475409836,0.33689839572192515,61,374,0.3448275862068966,,0.0641903105276855
rec_default_424154820_audio_1788768178955.mp3,kannada,1.1666666666666667,0.6344086021505376,18,93,0.7142857142857143,0.0,0.05815043764023548
rec_audio_call_424970880_audio_1788845652480.mp3,tamil,0.6792452830188679,0.45481927710843373,53,332,0.6190476190476191,0.0,0.0691792953535856
rec_default_426573210_audio_1788982914417.mp3,tamil,3.0072992700729926,1.6727272727272726,137,825,0.8148148148148148,0.5,0.07777784299199451
rec_audio_call_423645324_audio_1788715186440.mp3,tamil,0.7984496124031008,0.42601431980906923,129,838,0.6986301369863014,0.0,0.06232261958570834
rec_audio_call_426626261_audio_1788987652206.mp3,tamil,1.3679245283018868,0.8404761904761905,212,1260,0.5967741935483871,0.0,0.07049190690344127
rec_default_425778316_audio_1788916552817.mp3,hindi,0.4307692307692308,0.3183856502242152,65,223,0.5185185185185185,0.25,0.0549783484873652
rec_audio_call_426020111_audio_1788941616667.mp3,telugu,0.6027397260273972,0.41530054644808745,73,366,0.8666666666666667,0.6666666666666666,0.0677482589754669
rec_default_426202313_audio_1788955333217.mp3,hindi,0.9642857142857143,0.8918032786885246,84,305,0.6428571428571429,,0.03820793971587125
rec_audio_call_426306233_audio_1788965543370.mp3,kannada,1.00990099009901,0.6336448598130842,101,535,0.5227272727272727,0.0,0.08584335339870153
rec_default_426603278_audio_1788985350942.mp3,kannada,0.7103448275862069,0.4171006944444444,435,2304,0.7012195121951219,1.0,0.07587135009223613
rec_audio_call_426014372_audio_1788941177871.mp3,telugu,0.8,0.5,380,1992,0.717741935483871,0.3333333333333333,0.05317128370431623
rec_audio_call_423629370_audio_1788714233340.mp3,hindi,0.49162011173184356,0.35161954690132935,1611,5341,0.6961722488038278,0.0,0.0675357384627478
rec_audio_call_426882947_audio_1789023209263.mp3,kannada,1.0,0.8857142857142857,9,35,0.7692307692307693,,0.25094379880105205
rec_audio_call_426540516_audio_1788980804355.mp3,kannada,0.84,0.5378486055776892,50,251,0.5,0.0,0.06388369252800644
rec_audio_call_426107984_audio_1788948053829.mp3,hindi,0.7647058823529411,0.5660377358490566,34,106,0.7391304347826086,,0.0468323767496736
rec_audio_call_427306380_audio_1789058253191.mp3,telugu,0.6285714285714286,0.3279569892473118,35,186,0.4375,0.0,0.07380519595524616
rec_default_426107316_audio_1788948009635.mp3,hindi,1.2,1.0333333333333334,10,30,0.6666666666666666,,0.041726685897616765
rec_default_426633368_audio_1788988531170.mp3,tamil,1.0337078651685394,0.7205882352941176,89,476,0.6933333333333334,0.3333333333333333,0.05040266816152185
rec_audio_call_424867062_audio_1788834834877.mp3,hindi,0.5966850828729282,0.41323529411764703,181,680,0.6538461538461539,0.0,0.05277594359626615
rec_default_426593829_audio_1788984553610.mp3,hindi,0.32066508313539194,0.21645919778699863,421,1446,0.6195652173913043,1.0,0.10380399680517367
rec_audio_call_427305950_audio_1789058224627.mp3,telugu,0.4732142857142857,0.29525483304042177,112,569,0.5342465753424658,,0.0465443148637588
rec_default_427314573_audio_1789058813038.mp3,tamil,0.6721311475409836,0.39124087591240875,122,685,0.6379310344827587,,0.05686852218153198
rec_audio_call_426101059_audio_1788947560284.mp3,hindi,0.32091097308488614,0.22037037037037038,966,3240,0.7596153846153846,,0.07270841087327763
rec_default_425939252_audio_1788935280682.mp3,malayalam,0.5767857142857142,0.2785243741765481,560,3795,0.7631578947368421,0.0,0.563666847045484
rec_audio_call_424416192_audio_1788788125311.mp3,tamil,0.6586102719033232,0.30880361173814896,331,2215,0.6951219512195121,,0.09569466760571801
rec_default_427030481_audio_1789033781981.mp3,malayalam,0.6323529411764706,0.3225806451612903,68,465,0.6176470588235294,,4.6132447996187675
rec_audio_call_425915592_audio_1788933460694.mp3,malayalam,0.6949152542372882,0.3696969696969697,177,1155,0.6979166666666666,,0.283545791748769
rec_audio_call_421071310_audio_1788465787061.mp3,hindi,0.44282238442822386,0.3281195689954814,822,2877,0.766497461928934,1.0,0.09350826031411288
rec_audio_call_424378148_audio_1788784557326.mp3,tamil,0.6593406593406593,0.40782122905027934,182,1074,0.5081967213114754,,0.08312728046543467
rec_audio_call_420632008_audio_1788432977108.mp3,tamil,0.7887740029542097,0.36911662415951774,677,4313,0.75,,0.08123116151862397
rec_audio_call_426202958_audio_1788955393853.mp3,hindi,0.96875,0.774294670846395,96,319,0.8103448275862069,,0.04954015803156856
rec_audio_call_427305578_audio_1789058200155.mp3,tamil,1.5555555555555556,0.8507462686567164,9,67,0.8888888888888888,,0.05882803216657757
rec_default_426126833_audio_1788949400904.mp3,hindi,0.4166666666666667,0.3111111111111111,36,135,0.6,1.0,0.06530296804843463
rec_default_426864020_audio_1789021816720.mp3,kannada,0.9595959595959596,0.4894366197183099,99,568,0.6557377049180327,,0.5075428263673135
rec_default_420511327_audio_1788424417781.mp3,kannada,0.7585421412300684,0.44704381114419395,439,2351,0.6989795918367347,1.0,0.3459904247230803
rec_audio_call_424397178_audio_1788786285103.mp3,kannada,0.8163265306122449,0.44405594405594406,49,286,0.5263157894736842,,0.09522744795134451
rec_audio_call_425655492_audio_1788895962923.mp3,hindi,0.7887323943661971,0.6265734265734266,213,715,0.6987951807228916,0.0,0.0779094609686315
rec_default_423887482_audio_1788735128862.mp3,hindi,0.7454545454545455,0.5678756476683938,275,965,0.8273381294964028,1.0,0.051639918511546444
