language,wer_2s,wer_5s,wer_7s,wer_10s,cer_2s,cer_5s,cer_7s,cer_10s,swer_2s,swer_5s,swer_7s,swer_10s,boundary_corruption_2s,boundary_corruption_5s,boundary_corruption_7s,boundary_corruption_10s,policy_recall_2s,policy_recall_5s,policy_recall_7s,policy_recall_10s,rtf_2s,rtf_5s,rtf_7s,rtf_10s
hindi,0.53,0.47,0.48,0.51,0.34,0.33,0.34,0.37,0.08,0.08,0.10,0.10,0.71,0.65,0.71,0.64,0.51,0.48,0.50,0.36,0.04,0.02,0.02,0.02
kannada,0.76,0.73,0.75,0.79,0.40,0.42,0.47,0.54,0.04,0.06,0.06,0.08,0.69,0.66,0.70,0.64,0.18,0.16,0.07,0.08,0.04,0.02,0.02,0.03
malayalam,0.78,0.75,0.77,0.80,0.40,0.45,0.49,0.54,0.05,0.06,0.07,0.07,0.68,0.61,0.69,0.58,0.16,0.16,0.11,0.11,0.04,0.02,0.02,0.02
tamil,0.72,0.71,0.76,0.83,0.39,0.44,0.53,0.64,0.05,0.06,0.08,0.10,0.69,0.66,0.69,0.65,0.20,0.18,0.15,0.10,0.04,0.02,0.02,0.02
telugu,0.75,0.70,0.71,0.73,0.45,0.44,0.48,0.51,0.04,0.06,0.07,0.09,0.68,0.65,0.70,0.61,0.23,0.25,0.19,0.17,0.04,0.02,0.02,0.03
