source,chunk_seconds,language,n_files,micro_wer,micro_cer
indic_conformer,2.0,hindi,117,0.5281267319416221,0.34055476817169467
indic_conformer,2.0,kannada,68,0.7589682774977765,0.3953119197920535
indic_conformer,2.0,malayalam,58,0.776381348999777,0.4048409677307385
indic_conformer,2.0,tamil,65,0.7204171934260429,0.39456240004411847
indic_conformer,2.0,telugu,73,0.752547554347826,0.44576322115384615
indic_conformer,5.0,hindi,117,0.47335119157583594,0.32816359586960925
indic_conformer,5.0,kannada,68,0.7262081233323451,0.4184738210174527
indic_conformer,5.0,malayalam,58,0.7543690042388637,0.45216304712538613
indic_conformer,5.0,tamil,65,0.7106826801517067,0.4437875696244416
indic_conformer,5.0,telugu,73,0.6954257246376812,0.4440676510989011
indic_conformer,7.0,hindi,117,0.47755403657860707,0.341148680569616
indic_conformer,7.0,kannada,68,0.7527423658464275,0.47434088377274414
indic_conformer,7.0,malayalam,58,0.7658213727969063,0.4869661803329901
indic_conformer,7.0,tamil,65,0.761504424778761,0.530491369326642
indic_conformer,7.0,telugu,73,0.7119565217391305,0.4791595123626374
indic_conformer,10.0,hindi,117,0.5067892111583225,0.3668218937706688
indic_conformer,10.0,kannada,68,0.788862535823698,0.537894541403639
indic_conformer,10.0,malayalam,58,0.7962370789023574,0.5422138402619491
indic_conformer,10.0,tamil,65,0.825031605562579,0.6406441294876744
indic_conformer,10.0,telugu,73,0.7316576086956522,0.5118797218406593
indic_transcribe_core,2.0,hindi,117,0.5491409569554776,0.4033070122156982
indic_transcribe_core,2.0,kannada,68,1.2328868679879406,0.7931012070566388
indic_transcribe_core,2.0,malayalam,58,0.8582478060389707,0.42202811361138426
indic_transcribe_core,2.0,tamil,65,0.8456384323640961,0.49863784260740085
indic_transcribe_core,2.0,telugu,73,0.6665534420289855,0.41309666895604397
indic_transcribe_core,5.0,hindi,117,0.422778496212821,0.29663224674360533
indic_transcribe_core,5.0,kannada,68,0.7183808629466713,0.4068337975858867
indic_transcribe_core,5.0,malayalam,58,0.6912092815707274,0.3383120263782033
indic_transcribe_core,5.0,tamil,65,0.697597977243995,0.3715215353223405
indic_transcribe_core,5.0,telugu,73,0.5342504528985508,0.3125536572802198
indic_transcribe_core,7.0,hindi,117,0.5284038426011454,0.3531619086184788
indic_transcribe_core,7.0,kannada,68,0.5881974991350764,0.30687093779015784
indic_transcribe_core,7.0,malayalam,58,0.6087312211810204,0.3039972233470238
indic_transcribe_core,7.0,tamil,65,0.6689633375474083,0.35110571885512604
indic_transcribe_core,7.0,telugu,73,0.5115489130434783,0.29834520947802196
indic_transcribe_core,10.0,hindi,117,0.35280805468317017,0.24297766079503275
indic_transcribe_core,10.0,kannada,68,0.5672910591607769,0.28588672237697305
indic_transcribe_core,10.0,malayalam,58,0.5571173583221776,0.2884826748423671
indic_transcribe_core,10.0,tamil,65,0.6350821744627054,0.33182595268295373
indic_transcribe_core,10.0,telugu,73,0.46388134057971014,0.25876759958791207
