model,language,bucket,n_flags,tp,fp,precision,mean_entropy_overall,mean_entropy_tp,mean_entropy_fp
e4b_nothinking,kannada,0.4-0.6,0,0,0,,,,
e4b_nothinking,kannada,0.6-0.8,1,1,0,1.0,0.35,0.35,
e4b_nothinking,kannada,0.8-1.0,8,4,4,0.5,0.38,0.35,0.41
e4b_nothinking,malayalam,0.0-0.2,0,0,0,,,,
e4b_nothinking,malayalam,0.2-0.4,0,0,0,,,,
e4b_nothinking,malayalam,0.4-0.6,0,0,0,,,,
e4b_nothinking,malayalam,0.6-0.8,1,0,1,0.0,0.98,,0.98
e4b_nothinking,malayalam,0.8-1.0,3,2,1,0.67,0.78,0.85,0.63
e4b_nothinking,tamil,0.0-0.2,0,0,0,,,,
e4b_nothinking,tamil,0.2-0.4,0,0,0,,,,
e4b_nothinking,tamil,0.4-0.6,0,0,0,,,,
e4b_nothinking,tamil,0.6-0.8,2,1,1,0.5,0.49,0.58,0.4
e4b_nothinking,tamil,0.8-1.0,8,5,3,0.62,0.69,0.51,1.0
e4b_nothinking,telugu,0.0-0.2,0,0,0,,,,
e4b_nothinking,telugu,0.2-0.4,0,0,0,,,,
e4b_nothinking,telugu,0.4-0.6,0,0,0,,,,
e4b_nothinking,telugu,0.6-0.8,1,0,1,0.0,0.47,,0.47
e4b_nothinking,telugu,0.8-1.0,3,3,0,1.0,0.27,0.27,
e4b_nothinking,ALL,0.0-0.2,0,0,0,,,,
e4b_nothinking,ALL,0.2-0.4,0,0,0,,,,
e4b_nothinking,ALL,0.4-0.6,0,0,0,,,,
e4b_nothinking,ALL,0.6-0.8,8,4,4,0.5,0.51,0.41,0.61
e4b_nothinking,ALL,0.8-1.0,37,24,13,0.65,0.44,0.39,0.54
12b_nothinking,hindi,0.0-0.2,0,0,0,,,,
12b_nothinking,hindi,0.2-0.4,0,0,0,,,,
12b_nothinking,hindi,0.4-0.6,0,0,0,,,,
12b_nothinking,hindi,0.6-0.8,2,1,1,0.5,,,
12b_nothinking,hindi,0.8-1.0,63,33,30,0.52,,,
12b_nothinking,kannada,0.0-0.2,0,0,0,,,,
12b_nothinking,kannada,0.2-0.4,0,0,0,,,,
12b_nothinking,kannada,0.4-0.6,1,1,0,1.0,,,
12b_nothinking,kannada,0.6-0.8,1,0,1,0.0,,,
12b_nothinking,kannada,0.8-1.0,60,20,40,0.33,,,
12b_nothinking,malayalam,0.0-0.2,0,0,0,,,,
12b_nothinking,malayalam,0.2-0.4,0,0,0,,,,
12b_nothinking,malayalam,0.4-0.6,0,0,0,,,,
12b_nothinking,malayalam,0.6-0.8,5,1,4,0.2,,,
