model,language,bucket,n_flags,tp,fp,precision,mean_entropy_overall,mean_entropy_tp,mean_entropy_fp
e4b_thinking,ALL,0.8-1.0,254,106,148,0.42,0.31,0.27,0.33
e4b_nothinking,hindi,0.0-0.2,0,0,0,,,,
e4b_nothinking,hindi,0.2-0.4,0,0,0,,,,
e4b_nothinking,hindi,0.4-0.6,2,1,1,0.5,0.52,0.45,0.59
e4b_nothinking,hindi,0.6-0.8,1,0,1,0.0,0.67,,0.67
e4b_nothinking,hindi,0.8-1.0,15,11,4,0.73,0.27,0.28,0.26
e4b_nothinking,kannada,0.0-0.2,0,0,0,,,,
e4b_nothinking,kannada,0.2-0.4,0,0,0,,,,
e4b_nothinking,kannada,0.4-0.6,0,0,0,,,,
e4b_nothinking,kannada,0.6-0.8,0,0,0,,,,
e4b_nothinking,kannada,0.8-1.0,9,5,4,0.56,0.38,0.35,0.41
e4b_nothinking,malayalam,0.0-0.2,0,0,0,,,,
e4b_nothinking,malayalam,0.2-0.4,0,0,0,,,,
e4b_nothinking,malayalam,0.4-0.6,1,0,1,0.0,0.63,,0.63
e4b_nothinking,malayalam,0.6-0.8,1,0,1,0.0,0.98,,0.98
e4b_nothinking,malayalam,0.8-1.0,2,2,0,1.0,0.85,0.85,
e4b_nothinking,tamil,0.0-0.2,0,0,0,,,,
e4b_nothinking,tamil,0.2-0.4,0,0,0,,,,
e4b_nothinking,tamil,0.4-0.6,0,0,0,,,,
e4b_nothinking,tamil,0.6-0.8,0,0,0,,,,
e4b_nothinking,tamil,0.8-1.0,10,6,4,0.6,0.65,0.52,0.85
e4b_nothinking,telugu,0.0-0.2,0,0,0,,,,
e4b_nothinking,telugu,0.2-0.4,0,0,0,,,,
e4b_nothinking,telugu,0.4-0.6,0,0,0,,,,
e4b_nothinking,telugu,0.6-0.8,0,0,0,,,,
e4b_nothinking,telugu,0.8-1.0,4,3,1,0.75,0.32,0.27,0.47
e4b_nothinking,ALL,0.0-0.2,0,0,0,,,,
e4b_nothinking,ALL,0.2-0.4,0,0,0,,,,
e4b_nothinking,ALL,0.4-0.6,3,1,2,0.33,0.56,0.45,0.61
e4b_nothinking,ALL,0.6-0.8,2,0,2,0.0,0.82,,0.82
e4b_nothinking,ALL,0.8-1.0,40,27,13,0.68,0.42,0.39,0.5
12b_nothinking,hindi,0.0-0.2,0,0,0,,,,
12b_nothinking,hindi,0.2-0.4,0,0,0,,,,
12b_nothinking,hindi,0.4-0.6,3,1,2,0.33,,,
12b_nothinking,hindi,0.6-0.8,0,0,0,,,,
12b_nothinking,hindi,0.8-1.0,62,33,29,0.53,,,
12b_nothinking,kannada,0.0-0.2,0,0,0,,,,
12b_nothinking,kannada,0.2-0.4,0,0,0,,,,
12b_nothinking,kannada,0.4-0.6,2,0,2,0.0,,,
12b_nothinking,kannada,0.6-0.8,0,0,0,,,,
12b_nothinking,kannada,0.8-1.0,60,21,39,0.35,,,
12b_nothinking,malayalam,0.0-0.2,0,0,0,,,,
12b_nothinking,malayalam,0.2-0.4,0,0,0,,,,
12b_nothinking,malayalam,0.4-0.6,12,1,11,0.08,,,
12b_nothinking,malayalam,0.6-0.8,0,0,0,,,,
12b_nothinking,malayalam,0.8-1.0,31,9,22,0.29,,,
12b_nothinking,tamil,0.0-0.2,0,0,0,,,,
12b_nothinking,tamil,0.2-0.4,0,0,0,,,,
12b_nothinking,tamil,0.4-0.6,4,1,3,0.25,,,
12b_nothinking,tamil,0.6-0.8,0,0,0,,,,
12b_nothinking,tamil,0.8-1.0,36,13,23,0.36,,,
12b_nothinking,telugu,0.0-0.2,0,0,0,,,,
12b_nothinking,telugu,0.2-0.4,0,0,0,,,,
12b_nothinking,telugu,0.4-0.6,2,0,2,0.0,,,
12b_nothinking,telugu,0.6-0.8,0,0,0,,,,
12b_nothinking,telugu,0.8-1.0,36,15,21,0.42,,,
12b_nothinking,ALL,0.0-0.2,0,0,0,,,,
12b_nothinking,ALL,0.2-0.4,0,0,0,,,,
12b_nothinking,ALL,0.4-0.6,23,3,20,0.13,,,
12b_nothinking,ALL,0.6-0.8,0,0,0,,,,
12b_nothinking,ALL,0.8-1.0,225,91,134,0.4,,,
e2b_conformer5s_text_nothinking,hindi,0.0-0.2,7,0,7,0.0,0.01,,0.01
e2b_conformer5s_text_nothinking,hindi,0.2-0.4,3,1,2,0.33,0.0,,0.0
e2b_conformer5s_text_nothinking,hindi,0.4-0.6,18,5,13,0.28,0.01,0.02,0.0
e2b_conformer5s_text_nothinking,hindi,0.6-0.8,10,3,7,0.3,0.01,0.0,0.01
e2b_conformer5s_text_nothinking,hindi,0.8-1.0,37,23,14,0.62,0.0,0.01,0.0
e2b_conformer5s_text_nothinking,kannada,0.0-0.2,1,0,1,0.0,0.0,,0.0
e2b_conformer5s_text_nothinking,kannada,0.2-0.4,1,0,1,0.0,0.0,,0.0
e2b_conformer5s_text_nothinking,kannada,0.4-0.6,7,2,5,0.29,0.01,0.03,0.0
e2b_conformer5s_text_nothinking,kannada,0.6-0.8,5,1,4,0.2,0.0,0.0,0.0
e2b_conformer5s_text_nothinking,kannada,0.8-1.0,21,14,7,0.67,0.0,0.0,0.01
e2b_conformer5s_text_nothinking,malayalam,0.0-0.2,2,0,2,0.0,0.02,,0.02
e2b_conformer5s_text_nothinking,malayalam,0.2-0.4,2,0,2,0.0,0.0,,0.0
e2b_conformer5s_text_nothinking,malayalam,0.4-0.6,5,1,4,0.2,0.0,0.0,0.0
e2b_conformer5s_text_nothinking,malayalam,0.6-0.8,3,0,3,0.0,0.04,,0.04
e2b_conformer5s_text_nothinking,malayalam,0.8-1.0,13,8,5,0.62,0.01,0.01,0.01
e2b_conformer5s_text_nothinking,tamil,0.0-0.2,1,0,1,0.0,0.0,,0.0
e2b_conformer5s_text_nothinking,tamil,0.2-0.4,6,1,5,0.17,0.0,0.0,0.0
e2b_conformer5s_text_nothinking,tamil,0.4-0.6,13,4,9,0.31,0.01,0.01,0.01
