file_id,language,wer,cer,boundary_corruption_rate,policy_term_recall,real_time_factor
rec_audio_call_392603926_audio_1785858184285.mp3,hindi,0.5545454545454546,0.38421052631578945,0.7777777777777778,1.0,0.01699543201614014
rec_audio_call_392607690_audio_1785858500937.mp3,hindi,0.40441176470588236,0.2549800796812749,0.7692307692307693,0.5,0.023162094650734967
rec_audio_call_392643395_audio_1785861202288.mp3,hindi,0.575516693163752,0.40778588807785887,0.7236842105263158,0.5,0.02032891751419298
rec_audio_call_425736604_audio_1788905083156.mp3,hindi,0.4473684210526316,0.28776978417266186,0.6,1.0,0.016410433808339345
rec_audio_call_425748748_audio_1788908276475.mp3,hindi,0.6470588235294118,0.5412026726057907,0.8,0.0,0.018849003727595105
rec_audio_call_425749256_audio_1788908432017.mp3,hindi,0.37209302325581395,0.2517482517482518,0.8,1.0,0.019578528401685093
rec_default_426610557_audio_1788986010552.mp3,hindi,1.6,0.8,0.8,,0.027943164880588244
rec_audio_call_425655492_audio_1788895962923.mp3,hindi,0.7511737089201878,0.6321678321678321,0.7391304347826086,0.16666666666666666,0.019621740683433905
rec_audio_call_425656293_audio_1788896013602.mp3,hindi,0.8505747126436781,0.6741214057507987,0.6666666666666666,0.0,0.019164953108188103
rec_audio_call_425679391_audio_1788897730000.mp3,hindi,0.7461538461538462,0.6049618320610687,0.5833333333333334,1.0,0.019391563577111283
rec_audio_call_425691838_audio_1788898819143.mp3,hindi,0.6521739130434783,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.01899539902459221
rec_default_426593829_audio_1788984553610.mp3,hindi,0.35629453681710216,0.25311203319502074,0.6923076923076923,1.0,0.021495364500171248
rec_audio_call_419965552_audio_1788369990564.mp3,hindi,0.7575757575757576,0.4895397489539749,0.75,,0.02083272842043724
rec_audio_call_421071310_audio_1788465787061.mp3,hindi,0.44282238442822386,0.3315954118873827,0.7857142857142857,1.0,0.022109491168776876
rec_audio_call_421768524_audio_1788539479106.mp3,hindi,0.875,0.47540983606557374,1.0,,0.036886192395652245
rec_audio_call_421835569_audio_1788543699379.mp3,hindi,0.5094339622641509,0.336734693877551,0.5,,0.024075801716977062
rec_audio_call_421997101_audio_1788553909604.mp3,hindi,0.5471698113207547,0.39461883408071746,0.6615384615384615,0.25,0.023354224845107463
rec_audio_call_423610988_audio_1788712982461.mp3,hindi,0.8709677419354839,0.7450980392156863,1.0,0.0,0.017990928963046368
rec_audio_call_425656431_audio_1788896027178.mp3,hindi,0.4017094017094017,0.33787465940054495,1.0,0.5,0.014918026527188627
rec_default_420147298_audio_1788380486702.mp3,hindi,0.38444924406047515,0.2617097936455945,0.6153846153846154,0.0,0.019751653256542982
rec_default_420599099_audio_1788430532077.mp3,hindi,0.3468950749464668,0.2190237797246558,0.8,,0.02381083711779115
rec_default_421888258_audio_1788546625741.mp3,hindi,1.7142857142857142,1.1846153846153846,0.3333333333333333,0.0,0.03239715635742934
rec_default_423958539_audio_1788751477018.mp3,hindi,0.6470588235294118,0.5296052631578947,0.4583333333333333,1.0,0.021275797588472593
rec_audio_call_421981200_audio_1788552638354.mp3,hindi,0.4270833333333333,0.23743016759776536,0.6923076923076923,1.0,0.02149068092976162
rec_audio_call_422812035_audio_1788633064712.mp3,hindi,0.6796116504854369,0.5512465373961218,0.9166666666666666,0.0,0.02002637283056046
rec_audio_call_423872491_audio_1788731676125.mp3,hindi,0.46835443037974683,0.2047244094488189,0.5714285714285714,0.0,0.017972917592343454
rec_audio_call_424735559_audio_1788811052808.mp3,hindi,0.8545454545454545,0.6458333333333334,0.75,,0.03481154189097901
